timestamp_ms,price,sources,spread
1775417966838,67332.53,3,5.2
1775417966966,67332.53,3,5.2
1775417967844,67331.56,3,4.8
1775417967967,67331.56,3,4.8
1775417968844,67331.56,3,4.8
1775417968968,67331.56,3,4.8
1775417969846,67331.2,3,3.7
1775417969970,67331.2,3,3.7
1775417970848,67331.19,3,3.7
1775417970973,67331.19,3,3.7
1775417971850,67331.19,3,3.7
1775417971975,67331.19,3,3.7
1775417972851,67330.63,3,2.28
1775417972976,67330.63,3,2.28
1775417973853,67330.63,3,2.29
1775417973978,67330.63,3,2.29
1775417974856,67330.63,3,2.29
1775417974980,67330.63,3,2.29
1775417975858,67330.63,3,2.29
1775417975981,67330.63,3,2.29
1775417976860,67330.63,3,2.28
1775417976982,67330.63,3,2.28
1775417977861,67330.63,3,2.29
1775417977986,67330.63,3,2.29
1775417978861,67330.63,3,2.29
1775417978988,67330.63,3,2.29
1775417979864,67330.63,3,2.28
1775417979990,67330.63,3,2.28
1775417980866,67330.63,3,2.29
1775417980992,67330.63,3,2.29
1775417981868,67330.63,3,2.29
1775417981994,67330.63,3,2.29
1775417982869,67330.63,3,2.29
1775417982995,67330.63,3,2.29
1775417983871,67330.63,3,2.29
1775417983996,67330.63,3,2.29
1775417984872,67324.56,3,11.48
1775417984999,67324.56,3,11.48
1775417985873,67319.98,3,4.7
1775417986000,67319.98,3,4.7
1775417986876,67319.99,3,4.7
1775417987002,67319.99,3,4.7
1775417987881,67319.99,3,4.7
1775417988003,67319.99,3,4.7
1775417988882,67327.05,3,12.25
1775417989006,67327.05,3,12.25
1775417989884,67329.09,3,6.14
1775417990007,67329.09,3,6.14
1775417990887,67329.09,3,6.14
1775417991009,67329.09,3,6.14
1775417991889,67329.09,3,6.14
1775417992011,67329.09,3,6.14
1775417992891,67329.08,3,6.15
1775417993013,67329.08,3,6.15
1775417993892,67329.09,3,6.14
1775417994014,67329.09,3,6.14
1775417994894,67329.09,3,6.14
1775417995016,67329.09,3,6.14
1775417995895,67329.08,3,6.15
1775417996018,67329.08,3,6.15
1775417996896,67329.08,3,6.15
1775417997019,67329.08,3,6.15
1775417997898,67329.22,3,6.54
1775417998019,67329.22,3,6.54
1775417998899,67329.22,3,6.55
1775417999021,67329.22,3,6.55
1775417999899,67329.79,3,6.54
1775418000023,67329.79,3,6.54
1775418000901,67330.62,3,8.94
1775418001026,67330.62,3,8.94
1775418001903,67331.5,3,6.29
1775418002028,67331.5,3,6.29
1775418002905,67331.5,3,6.3
1775418003028,67331.5,3,6.3
1775418003905,67331.5,3,6.3
1775418004030,67331.5,3,6.3
1775418004908,67331.47,3,6.2
1775418005032,67331.47,3,6.2
1775418005909,67331.5,3,6.29
1775418006035,67331.5,3,6.29
1775418006911,67331.5,3,6.29
1775418007037,67331.5,3,6.29
1775418007913,67331.5,3,6.29
1775418008038,67331.5,3,6.29
1775418008915,67331.5,3,6.29
1775418009038,67331.5,3,6.3
1775418009917,67332.0,3,7.2
1775418010040,67332.7,3,5.4
1775418010920,67332.37,3,4.4
1775418011042,67332.37,3,4.4
1775418011921,67332.37,3,4.4
1775418012044,67332.36,3,4.4
1775418012922,67332.36,3,4.4
1775418013045,67332.36,3,4.4
1775418013926,67332.36,3,4.4
1775418014046,67332.37,3,4.4
1775418014928,67332.37,3,4.4
1775418015048,67332.37,3,4.4
1775418015930,67332.4,3,4.5
1775418016049,67332.4,3,4.5
1775418016932,67332.4,3,4.5
1775418017051,67332.4,3,4.5
1775418017935,67332.37,3,4.6
1775418018054,67332.37,3,4.6
1775418018937,67332.37,3,4.6
1775418019056,67332.37,3,4.6
1775418019938,67332.37,3,4.6
1775418020058,67332.37,3,4.6
1775418020939,67332.33,3,4.5
1775418021059,67332.33,3,4.5
1775418021940,67332.36,3,4.4
1775418022061,67332.36,3,4.4
1775418022942,67336.03,3,8.51
1775418023063,67336.16,3,8.12
1775418023943,67336.16,3,8.12
1775418024065,67337.0,3,5.6
1775418024952,67337.0,3,5.6
1775418025066,67337.0,3,5.6
1775418025952,67336.5,3,5.6
1775418026067,67336.5,3,5.61
1775418026955,67336.5,3,5.61
1775418027067,67336.5,3,5.6
1775418027957,67336.5,3,5.6
1775418028069,67336.5,3,5.6
1775418028959,67336.5,3,5.6
1775418029072,67336.5,3,5.6
1775418029961,67335.1,3,1.9
1775418030074,67331.87,3,7.3
1775418030962,67328.3,3,5.9
1775418031076,67326.42,3,3.4
1775418031963,67327.79,3,6.24
1775418032078,67327.79,3,6.24
1775418032964,67328.65,3,6.24
1775418033080,67328.65,3,6.25
1775418033968,67329.08,3,7.45
1775418034081,67329.09,3,7.44
1775418034969,67329.05,3,7.44
1775418035083,67329.05,3,7.44
1775418035969,67329.05,3,7.44
1775418036085,67329.05,3,7.45
1775418036971,67329.05,3,7.45
1775418037086,67329.05,3,7.45
1775418037977,67326.48,3,6.6
1775418038087,67326.48,3,6.6
1775418038979,67325.72,3,4.3
1775418039089,67325.72,3,4.3
1775418039981,67325.72,3,4.3
1775418040090,67325.72,3,4.3
1775418040983,67325.69,3,4.2
1775418041092,67325.68,3,4.2
1775418041985,67325.68,3,4.2
1775418042095,67325.68,3,4.2
1775418042986,67325.68,3,4.2
1775418043098,67325.68,3,4.2
1775418043986,67325.68,3,4.2
1775418044101,67325.68,3,4.2
1775418044986,67326.15,3,5.6
1775418045101,67328.15,3,4.24
1775418045987,67328.15,3,4.24
1775418046102,67328.15,3,4.25
1775418046989,67328.15,3,4.25
1775418047105,67328.65,3,5.34
1775418047990,67328.65,3,5.34
1775418048107,67328.65,3,5.35
1775418048991,67328.62,3,5.25
1775418049107,67328.62,3,5.24
1775418049993,67328.62,3,5.24
1775418050108,67328.62,3,5.25
1775418050995,67328.62,3,5.25
1775418051110,67328.62,3,5.25
1775418051996,67328.62,3,5.25
1775418052110,67328.62,3,5.25
1775418052999,67330.32,3,10.35
1775418053114,67333.86,3,6.39
1775418054001,67337.2,3,2.31
1775418054114,67337.2,3,2.31
1775418055003,67337.3,3,2.41
1775418055116,67337.3,3,2.41
1775418056005,67337.26,3,2.31
1775418056119,67337.26,3,2.31
1775418057007,67337.73,3,3.71
1775418057121,67337.73,3,3.71
1775418058009,67337.73,3,3.71
1775418058122,67337.96,3,4.41
1775418059012,67338.0,3,4.51
1775418059123,67337.99,3,4.52
1775418060014,67339.53,3,5.82
1775418060125,67339.53,3,5.82
1775418061015,67340.03,3,6.02
1775418061127,67342.0,3,0.2
1775418062016,67342.0,3,0.2
1775418062130,67342.26,3,0.88
1775418063018,67339.26,3,6.18
1775418063132,67337.5,3,1.8
1775418064018,67337.5,3,1.8
1775418064135,67337.5,3,1.8
1775418065019,67337.5,3,1.8
1775418065136,67337.5,3,1.8
1775418066020,67336.84,3,3.8
1775418066138,67336.83,3,3.8
1775418067021,67336.83,3,3.8
1775418067141,67336.84,3,3.8
1775418068023,67337.2,3,2.7
1775418068141,67337.2,3,2.7
1775418069024,67337.2,3,2.7
1775418069143,67337.2,3,2.7
1775418070027,67337.2,3,2.7
1775418070145,67337.2,3,2.7
1775418071027,67337.2,3,2.7
1775418071146,67337.2,3,2.7
1775418072029,67337.2,3,2.7
1775418072147,67337.2,3,2.7
1775418073030,67337.2,3,2.7
1775418073149,67337.2,3,2.7
1775418074032,67337.23,3,2.8
1775418074152,67337.23,3,2.8
1775418075032,67340.77,3,5.49
1775418075153,67340.77,3,5.49
1775418076035,67340.74,3,5.39
1775418076155,67340.74,3,5.39
1775418077037,67340.87,3,5.39
1775418077158,67340.87,3,5.39
1775418078038,67340.87,3,5.39
1775418078160,67340.87,3,5.39
1775418079038,67341.0,3,5.39
1775418079161,67341.0,3,5.39
1775418080039,67341.04,3,5.49
1775418080163,67341.04,3,5.49
1775418081039,67337.9,3,2.2
1775418081164,67337.9,3,2.2
1775418082042,67337.9,3,2.2
1775418082165,67337.9,3,2.2
1775418083043,67337.9,3,2.2
1775418083167,67337.9,3,2.2
1775418084045,67337.9,3,2.2
1775418084170,67337.9,3,2.2
1775418085047,67336.43,3,2.7
1775418085172,67336.43,3,2.7
1775418086049,67336.43,3,2.7
1775418086173,67335.03,3,4.7
1775418087051,67335.03,3,4.7
1775418087176,67335.03,3,4.7
1775418088052,67335.04,3,4.71
1775418088178,67335.04,3,4.71
1775418089053,67335.04,3,4.71
